,Date,Volume,Open,Close,High,Low,Growth,SMA5,SMA20,daily_change_percentage,returns,daily_trend
2273,2021-06-02,11654300.0,330.3800048828125,329.1499938964844,331.8699951171875,327.1199951171875,Growth Down,,,0.0,,No change
2274,2021-06-03,12610800.0,325.7799987792969,326.0400085449219,327.3800048828125,323.4800109863281,Growth Up,,,-0.9448535346291309,-0.002897968070991965,Up to 2% Decrease
2275,2021-06-04,13289400.0,325.8999938964844,330.3500061035156,332.4599914550781,325.17999267578125,Growth Up,,,1.3219229068937688,0.004001582813591783,Up to 2% Increase
2276,2021-06-07,20136700.0,329.4800109863281,336.5799865722656,337.69000244140625,328.92999267578125,Growth Up,,,1.8858726664584324,0.005603044570962703,Up to 2% Increase
2277,2021-06-08,14580500.0,336.70001220703125,333.67999267578125,338.29998779296875,332.239990234375,Growth Down,331.1599975585938,,-0.8616061596584901,-0.002582133117269833,Up to 2% Decrease
2278,2021-06-09,13727900.0,335.739990234375,330.25,336.79998779296875,330.0,Growth Down,331.3799987792969,,-1.0279287793901304,-0.00311257768172636,Up to 2% Decrease
2279,2021-06-10,13240200.0,330.7900085449219,332.4599914550781,333.94000244140625,328.54998779296875,Growth Up,332.66399536132815,,0.6691874201599113,0.0020128359422469985,Up to 2% Increase
2280,2021-06-11,13587900.0,332.5799865722656,331.260009765625,332.8299865722656,328.92999267578125,Growth Down,332.84599609375,,-0.360940179358471,-0.0010895978044975772,No change
2281,2021-06-14,12250800.0,331.8999938964844,336.7699890136719,336.82000732421875,329.8099975585937,Growth Up,332.8839965820313,,1.6633396986087456,0.004939097166823909,Up to 2% Increase
2282,2021-06-15,15795200.0,336.989990234375,336.75,339.9200134277344,335.0299987792969,Growth Down,333.497998046875,,-0.005935509197363409,-1.7625862501450362e-05,No change
2283,2021-06-16,17232200.0,336.70001220703125,331.0799865722656,337.54998779296875,328.7200012207031,Growth Down,333.66399536132815,,-1.6837456355558666,-0.005085615874846459,Up to 2% Decrease
2284,2021-06-17,17794100.0,330.489990234375,336.510009765625,337.9800109863281,330.1499938964844,Growth Up,334.4739990234375,,1.6400940599211156,0.004873834395189078,Up to 2% Increase
2285,2021-06-18,23039500.0,334.5299987792969,329.6600036621094,336.1499938964844,329.0,Growth Down,334.15399780273435,,-2.0356024797855365,-0.006174854265523706,2-5% Decrease
2286,2021-06-21,11337500.0,331.0899963378906,332.2900085449219,332.9200134277344,327.6499938964844,Growth Up,333.25800170898435,,0.7977931364425261,0.0024008941464596385,Up to 2% Increase
2287,2021-06-22,15345300.0,332.69000244140625,339.0299987792969,339.9200134277344,332.6000061035156,Growth Up,333.71400146484376,,2.02834574048405,0.00598279133937192,2-5% Increase
2288,2021-06-23,14817800.0,339.3500061035156,340.5899963378906,343.4200134277344,338.20001220703125,Growth Up,335.6160034179687,,0.4601355526680839,0.0013509955007944368,No change
2289,2021-06-24,12329100.0,341.8500061035156,343.17999267578125,344.8999938964844,341.7900085449219,Growth Up,336.95,,0.760444042907582,0.002215875223314695,Up to 2% Increase
2290,2021-06-25,14594400.0,342.5899963378906,341.3699951171875,344.1199951171875,339.67999267578125,Growth Down,339.2919982910156,,-0.5274193126706406,-0.0015450078220541467,Up to 2% Decrease
2291,2021-06-28,29156100.0,342.4599914550781,355.6400146484375,358.1400146484375,341.7699890136719,Growth Up,343.9619995117188,,4.180220797188494,0.011754078914097412,2-5% Increase
2292,2021-06-29,21417300.0,356.2699890136719,351.8900146484375,356.739990234375,349.04998779296875,Growth Down,346.53400268554685,336.2264999389648,-1.0544370277644433,-0.002996496018274059,Up to 2% Decrease
2293,2021-06-30,15107500.0,352.1700134277344,347.7099914550781,352.9200134277344,347.1700134277344,Growth Down,347.9580017089844,337.15449981689454,-1.187877751386468,-0.003416288805551721,Up to 2% Decrease
2294,2021-07-01,17137000.0,346.82000732421875,354.3900146484375,354.6700134277344,346.5,Growth Up,350.20000610351565,338.57200012207034,1.921147898398079,0.005420998953099452,Up to 2% Increase
2295,2021-07-02,11521300.0,355.1000061035156,354.70001220703125,356.44000244140625,352.6199951171875,Growth Down,352.8660095214844,339.7895004272461,0.08747355901133069,0.00024661278827437465,No change
2296,2021-07-06,13488500.0,356.5,352.7799987792969,358.7900085449219,349.17999267578125,Growth Down,352.29400634765625,340.59950103759763,-0.5413062761931098,-0.0015344018313571033,Up to 2% Decrease
2297,2021-07-07,14218900.0,355.260009765625,350.489990234375,356.489990234375,350.0,Growth Down,352.0140014648438,341.4400009155273,-0.6491321936747729,-0.0018520705633866858,Up to 2% Decrease
2298,2021-07-08,14406500.0,345.7300109863281,345.6499938964844,348.3299865722656,342.5599975585937,Growth Down,351.602001953125,342.2100006103516,-1.380922843090071,-0.0039951478879633115,Up to 2% Decrease
